"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,4.222,22,9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,105.189,00,5.160,9.971,3,-170,-6,526,10.000,50,0,1,2,3,8,1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,8,4,,0,,,,,,,,0,0,0,,0,,,,,,,"
"Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Teórico,VI,Qtd. Bid,Vol. Impl. Bid (%),Bid,Ask,Vol. Impl. Ask (%),Qtd. Ask,Último,Var. (%),Data/Hora,VE,Prêmio como % do strike,Prêmio como % da última cotação,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,Prob. ITM (%),IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRV137,PUT,,E,1.317,OTM,-5.745,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ138,CALL,,E,1.322,ITM,-5.729,1.780,1.773,,,,,,,,0,,,,,,,,10.000,0,-80,,0,,,,,,,
PETRV138,PUT,,E,1.322,OTM,-5.729,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ140,CALL,,E,1.342,ITM,-5.664,1.760,1.753,,,,,,,1.810,0,09:45:00,57,13.487,5.848,,,,10.000,0,-80,-4,0,,100,0,0,"2,6",1,1
PETRV140,PUT,,E,1.342,OTM,-5.664,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ14,CALL,,A,1.347,ITM,-5.648,1.755,1.748,,,,,,,1.819,0,09:45:00,71,13.504,5.877,,,,10.000,0,-80,-4,0,,100,0,0,"3,5",1,1
PETRV14,PUT,,E,1.347,OTM,-5.648,0,,,,,1,,60,2,0,09:45:00,,15,6,,,,0,0,0,,0,,100,0,0,5,1,1
PETRJ142,CALL,,A,1.367,ITM,-5.583,1.735,1.728,,,,,,,,0,,,,,,,,10.000,0,-80,,0,,,,,,,
PETRV142,PUT,,E,1.367,OTM,-5.583,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ143,CALL,,E,1.372,ITM,-5.567,1.730,1.723,,,,,,,1.815,0,09:45:00,92,13.229,5.864,,,,10.000,0,-80,-4,0,,100,100,200,"1,2",2,2
PETRV143,PUT,,E,1.372,OTM,-5.567,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ145,CALL,,A,1.397,ITM,-5.486,1.705,1.698,,,,,,,1.749,0,09:45:00,51,12.520,5.651,,,,10.000,0,-80,-5,0,,100,0,0,"2,9",1,1
PETRV145,PUT,,E,1.397,OTM,-5.486,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ148,CALL,,E,1.422,ITM,-5.405,1.681,1.673,3,,1.630,1.692,2.289,3,1.835,0,09:45:00,-12,11.684,5.368,,,,10.000,0,-80,-5,0,10.000,100,0,0,"9,1",1,1
PETRV148,PUT,,E,1.422,OTM,-5.405,0,,,,,2,1.757,"976,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ150,CALL,,A,1.447,ITM,-5.325,1.656,1.648,3,,1.605,1.668,2.272,3,1.670,0,09:45:00,-11,11.313,5.289,,,,10.000,0,-90,-5,0,10.000,133,0,0,"4,6",4,3
PETRV150,PUT,,E,1.447,OTM,-5.325,0,,,,,1,,85,1,0,09:45:00,,7,3,,,,0,0,0,,0,,100,0,200,0,2,2
PETRJ153,CALL,,E,1.472,ITM,-5.244,1.631,1.623,3,,1.580,1.643,2.222,3,1.728,0,09:45:00,-11,10.951,5.208,,,,10.000,0,-90,-5,0,10.000,100,"1,9",0,"14,4",3,3
PETRV153,PUT,,E,1.472,OTM,-5.244,0,,,,,1,1.555,110,1,0,09:45:00,,7,3,,,,0,0,0,,0,,100,0,100,0,1,1
PETRJ155,CALL,,A,1.497,ITM,-5.163,1.606,1.598,3,,1.555,1.619,2.204,3,1.650,0,09:45:00,-11,10.605,5.129,,,,10.000,0,-90,-6,0,10.000,100,0,"9,1",0,1,1
PETRV155,PUT,,E,1.497,OTM,-5.163,0,,,,,1,,110,1,0,09:45:00,,7,3,,,,0,0,0,,0,,100,0,100,0,1,1
